0.1 , 0.5 , 1.0 , 2 , 14.6, 14.0 
0.1 , 0.5 , 5.0 , 2 , 17.1, 16.7 
0.15 , 0.5 , 0.2 , 2 , 14.4, 14.0 
0.15 , 0.5 , 1.0 , 2 , 10.2, 9.7 
0.15 , 0.5 , 5.0 , 2 , 16.0, 15.0 
0.05 , 0.25 , 0.2 , 2 , 14.3, 14.0 
0.05 , 0.25 , 1.0 , 2 , 14.1, 13.9 
0.05 , 0.25 , 5.0 , 2 , 12.2, 12.0 
0.1 , 0.25 , 0.2 , 2 , 14.6, 13.9 
0.1 , 0.25 , 1.0 , 2 , 17.9, 17.2 
0.1 , 0.25 , 5.0 , 2 , 14.4, 13.8 
0.15 , 0.25 , 0.2 , 2 , 12.9, 12.1 
0.15 , 0.25 , 1.0 , 2 , 16.0, 15.4 
0.15 , 0.25 , 5.0 , 2 , 14.3, 13.4 
0.05 , 0.75 , 0.2 , 2 , 24.0, 23.7 
0.05 , 0.75 , 1.0 , 2 , 22.3, 21.9 
0.05 , 0.75 , 5.0 , 2 , 21.4, 20.6 
0.1 , 0.75 , 0.2 , 2 , 21.3, 20.3 
0.1 , 0.75 , 1.0 , 2 , 20.3, 19.8 
0.1 , 0.75 , 5.0 , 2 , 19.3, 18.7 
0.15 , 0.75 , 0.2 , 2 , 13.7, 13.1 
0.15 , 0.75 , 1.0 , 2 , 20.5, 19.8 
0.15 , 0.75 , 5.0 , 2 , 26.2, 24.0 
0.05 , 0.5 , 0.2 , 3 , 17.4, 16.5 
0.05 , 0.5 , 1.0 , 3 , 13.8, 13.3 
0.05 , 0.5 , 5.0 , 3 , 13.8, 12.8 
0.1 , 0.5 , 0.2 , 3 , 13.9, 13.3 
0.1 , 0.5 , 1.0 , 3 , 15.7, 14.9 
0.1 , 0.5 , 5.0 , 3 , 19.4, 18.6 
0.15 , 0.5 , 0.2 , 3 , 16.9, 15.9 
0.15 , 0.5 , 1.0 , 3 , 13.3, 12.7 
0.15 , 0.5 , 5.0 , 3 , 17.9, 17.2 
